id,title,abstract,math,physics,q-bio,q-fin,stat
704.0002,sparsity-certifying graph decompositions,"we describe a new algorithm, the $(k,\ell)$-pebble game with colors, and use it obtain a characterization of the family of $(k,\ell)$-sparse graphs and algorithmic solutions to a family of problems concerning tree decompositions of graphs. special instances of sparse graphs appear in rigidity theory and have received increased attention in recent years. in particular, our colored pebbles generalize and strengthen the previous results of lee and streinu and give a new proof of the tutte-nash-williams characterization of arboricity. we also present a new decomposition that certifies sparsity based on the $(k,\ell)$-pebble game with colors. our work also exposes connections between pebble game algorithms and previous sparse graph algorithms by gabow, gabow and westermann and hendrickson.",1,0,0,0,0
704.0004,a determinant of stirling cycle numbers counts unlabeled acyclic   single-source automata,we show that a determinant of stirling cycle numbers counts unlabeled acyclic single-source automata. the proof involves a bijection from these automata to certain marked lattice paths and a sign-reversing involution to evaluate the determinant.,1,0,0,0,0
704.0005,from dyadic $\lambda_{\alpha}$ to $\lambda_{\alpha}$,"in this paper we show how to compute the $\lambda_{\alpha}$ norm, $\alpha\ge 0$, using the dyadic grid. this result is a consequence of the description of the hardy spaces $h^p(r^n)$ in terms of dyadic and special atoms.",1,0,0,0,0
704.001,"partial cubes: structures, characterizations, and constructions","partial cubes are isometric subgraphs of hypercubes. structures on a graph defined by means of semicubes, and djokovi\'{c}'s and winkler's relations play an important role in the theory of partial cubes. these structures are employed in the paper to characterize bipartite graphs and partial cubes of arbitrary dimension. new characterizations are established and new proofs of some known results are given.   the operations of cartesian product and pasting, and expansion and contraction processes are utilized in the paper to construct new partial cubes from old ones. in particular, the isometric and lattice dimensions of finite partial cubes obtained by means of these operations are calculated.",1,0,0,0,0
704.0011,computing genus 2 hilbert-siegel modular forms over $\q(\sqrt{5})$ via   the jacquet-langlands correspondence,"in this paper we present an algorithm for computing hecke eigensystems of hilbert-siegel cusp forms over real quadratic fields of narrow class number one. we give some illustrative examples using the quadratic field $\q(\sqrt{5})$. in those examples, we identify hilbert-siegel eigenforms that are possible lifts from hilbert eigenforms.",1,0,0,0,0
704.0012,distribution of integral fourier coefficients of a modular form of half   integral weight modulo primes,"recently, bruinier and ono classified cusp forms $f(z) := \sum_{n=0}^{\infty} a_f(n)q ^n \in s_{\lambda+1/2}(\gamma_0(n),\chi)\cap \mathbb{z}[[q]]$ that does not satisfy a certain distribution property for modulo odd primes $p$. in this paper, using rankin-cohen bracket, we extend this result to modular forms of half integral weight for primes $p \geq 5$. as applications of our main theorem we derive distribution properties, for modulo primes $p\geq5$, of traces of singular moduli and hurwitz class number. we also study an analogue of newman's conjecture for overpartitions.",1,0,0,0,0
704.0013,$p$-adic limit of weakly holomorphic modular forms of half integral   weight,"serre obtained the p-adic limit of the integral fourier coefficient of modular forms on $sl_2(\mathbb{z})$ for $p=2,3,5,7$. in this paper, we extend the result of serre to weakly holomorphic modular forms of half integral weight on $\gamma_{0}(4n)$ for $n=1,2,4$. a proof is based on linear relations among fourier coefficients of modular forms of half integral weight. as applications we obtain congruences of borcherds exponents, congruences of quotient of eisentein series and congruences of values of $l$-functions at a certain point are also studied. furthermore, the congruences of the fourier coefficients of siegel modular forms on maass space are obtained using ikeda lifting.",1,0,0,0,0
704.0014,iterated integral and the loop product,in this article we discuss a relation between the string topology and differential forms based on the theory of chen's iterated integrals and the cyclic bar complex.,1,0,0,0,0
704.0019,"approximation for extinction probability of the contact process based on   the gr\""obner basis","in this note we give a new method for getting a series of approximations for the extinction probability of the one-dimensional contact process by using the gr\""obner basis.",1,0,0,0,0
704.0022,stochastic lie group integrators,"we present lie group integrators for nonlinear stochastic differential equations with non-commutative vector fields whose solution evolves on a smooth finite dimensional manifold. given a lie group action that generates transport along the manifold, we pull back the stochastic flow on the manifold to the lie group via the action, and subsequently pull back the flow to the corresponding lie algebra via the exponential map. we construct an approximation to the stochastic flow in the lie algebra via closed operations and then push back to the lie group and then to the manifold, thus ensuring our approximation lies in the manifold. we call such schemes stochastic munthe-kaas methods after their deterministic counterparts. we also present stochastic lie group integration schemes based on castell--gaines methods. these involve using an underlying ordinary differential integrator to approximate the flow generated by a truncated stochastic exponential lie series. they become stochastic lie group integrator schemes if we use munthe-kaas methods as the underlying ordinary differential integrator. further, we show that some castell--gaines methods are uniformly more accurate than the corresponding stochastic taylor schemes. lastly we demonstrate our methods by simulating the dynamics of a free rigid body such as a satellite and an autonomous underwater vehicle both perturbed by two independent multiplicative stochastic noise processes.",1,0,0,0,0
